1.450,24.420,23.950,0.350,387946.000,24.590,23.820
0.430,30.140,30.130,0.130,356392.000,30.410,29.800
1.770,8.630,8.490,0.150,698429.000,8.700,8.400
0.130,7.600,7.530,0.010,2592298.000,7.660,7.440
0.590,11.990,11.900,0.070,6099460.000,12.050,11.860
-0.950,9.420,9.560,-0.090,1980992.000,9.560,9.350
-0.390,17.700,17.790,-0.070,45322.000,17.790,17.500
-0.920,108.990,110.000,-1.010,5571.000,110.000,108.440
1.670,23.760,23.400,0.390,89470.000,23.820,23.240
-1.860,1.580,1.580,-0.030,141035.000,1.620,1.500
9.360,7.010,6.440,0.600,12118327.000,7.110,6.340
2.600,44.260,43.030,1.120,1700763.000,44.450,42.970
-0.560,55.140,55.330,-0.310,46339.000,55.350,54.510
-0.480,33.350,33.560,-0.160,702213.000,33.600,33.235
-0.650,7.620,7.670,-0.050,60379.000,7.730,7.600
-0.560,44.390,44.610,-0.250,272594.000,44.640,44.300
-1.600,43.160,43.930,-0.700,868632.000,43.930,42.790
-1.830,3.210,3.250,-0.060,27485.000,3.280,3.190
0.520,17.510,17.450,0.090,233049.000,17.600,17.370
0.170,35.060,35.040,0.060,1741879.000,35.240,34.940
1.190,15.330,15.180,0.180,8263144.000,15.540,15.180
0.080,12.700,12.680,0.010,3568890.000,12.740,12.600
0.380,58.110,58.000,0.220,54112.000,58.360,57.420
0.470,53.320,52.960,0.250,1429001.000,53.320,52.790
6.080,30.690,28.500,1.760,5980581.000,31.120,28.400
-0.580,87.700,88.810,-0.510,3541943.000,88.910,87.670
-0.710,11.200,11.280,-0.080,13832.000,11.330,11.190
0.490,41.300,40.950,0.200,254070.000,41.420,40.850
1.270,11.920,11.760,0.150,1406803.000,12.070,11.690
2.790,7.925,7.660,0.215,18550.000,7.980,7.640
0.830,42.570,42.130,0.350,628999.000,42.670,41.980
-2.030,13.000,13.200,-0.270,101077.000,13.220,13.000
0.670,16.460,16.440,0.110,48186375.000,16.500,16.250
-0.470,54.880,55.310,-0.260,215655.000,55.610,54.210
-3.000,9.710,9.890,-0.300,4026269.000,9.950,9.630
2.360,101.200,99.760,2.330,4071348.000,102.450,99.570
-0.860,8.100,8.220,-0.070,8012477.000,8.250,8.030
1.410,15.800,15.530,0.220,22776941.000,15.980,15.530
-2.350,3.330,3.390,-0.080,489631.000,3.410,3.250
0.000,1.460,1.460,0.000,969750.000,1.480,1.450
-1.660,27.330,27.810,-0.460,45436.000,27.810,27.210
2.230,21.510,21.110,0.470,2445506.000,21.685,20.960
0.340,55.850,55.580,0.190,431733.000,56.260,55.300
-0.540,36.520,36.700,-0.200,7771524.000,36.820,36.370
-1.680,79.640,81.160,-1.360,1874461.000,81.400,79.470
1.250,51.940,51.390,0.640,153777.000,52.000,50.780
0.240,25.170,25.150,0.060,545133.000,25.400,25.060
-0.040,49.990,49.940,-0.020,581739.000,50.300,49.680
0.550,52.380,52.390,0.285,1200196.000,52.770,52.090
-2.770,17.870,18.410,-0.510,9495.000,18.410,17.820
0.060,17.610,17.600,0.010,138216.000,17.670,17.505
-4.880,1.170,1.230,-0.060,662520.000,1.230,1.160
2.330,88.560,88.500,2.020,11349832.000,89.570,88.440
-0.260,11.690,11.720,-0.030,536041.000,11.780,11.570
0.320,55.950,55.710,0.180,239475.000,56.360,55.110
